step,timestamp,mode,total_waiting_time,baseline_waiting_time,total_queue,total_throughput,rl_gain
84,1776323703.1983502,sumo,1581.0,1604.2,41.0,16.062,23.200000000000045
85,1776323705.1889877,sumo,1621.0,1644.2,41.0,15.991,23.200000000000045
86,1776323707.191027,sumo,1661.0,1685.2,46.0,16.356,24.200000000000045
87,1776323709.2145908,sumo,1702.0,1725.4,42.0,17.042,23.40000000000009
88,1776323711.2257907,sumo,1741.0,1764.0,40.0,17.502,23.0
89,1776323713.2332265,sumo,1781.0,1804.2,41.0,17.665,23.200000000000045
90,1776323715.2565627,sumo,1821.0,1844.2,41.0,17.359,23.200000000000045
91,1776323717.2585685,sumo,1861.0,1884.0,40.0,17.413,23.0
92,1776323719.2743347,sumo,1902.0,1925.4,42.0,17.008,23.40000000000009
93,1776323721.2806215,sumo,1946.0,1970.0,45.0,17.544,24.0
94,1776323723.2850478,sumo,1991.0,2015.2,46.0,16.745,24.200000000000045
95,1776323725.286739,sumo,2036.0,2060.2,46.0,17.326,24.199999999999818
96,1776323727.322427,sumo,2081.0,2105.0,45.0,16.745,24.0
97,1776323729.30554,sumo,2127.0,2151.4,47.0,16.714,24.40000000000009
98,1776323731.3235953,sumo,2175.0,2199.8,49.0,16.48,24.800000000000182
99,1776323733.3161454,sumo,2225.0,2250.0,50.0,16.983,25.0
100,1776323735.3324869,sumo,2275.0,2300.0,50.0,16.547,25.0
101,1776323737.3633783,sumo,2325.0,2351.4,57.0,16.769,26.40000000000009
102,1776323739.36483,sumo,2375.0,2400.0,50.0,16.494,25.0
103,1776323741.3746743,sumo,2425.0,2450.2,51.0,16.928,25.199999999999818
104,1776323743.3957834,sumo,2475.0,2500.2,51.0,17.32,25.199999999999818
105,1776323745.3744903,sumo,2525.0,2550.0,50.0,17.412,25.0
106,1776323747.4098501,sumo,2575.0,2600.4,52.0,17.16,25.40000000000009
107,1776323749.4023292,sumo,2625.0,2651.0,55.0,17.171,26.0
108,1776323751.4115415,sumo,2675.0,2700.0,50.0,17.986,25.0
109,1776323753.4358528,sumo,2725.0,2750.4,52.0,17.612,25.40000000000009
110,1776323755.4290972,sumo,2775.0,2800.0,50.0,17.265,25.0
111,1776323757.4435222,sumo,2825.0,2850.2,51.0,17.261,25.199999999999818
112,1776323759.443818,sumo,2876.0,2901.4,52.0,17.455,25.40000000000009
113,1776323761.4536948,sumo,2928.0,2953.6,53.0,17.811,25.59999999999991
114,1776323763.4690938,sumo,2982.0,3007.8,54.0,17.549,25.800000000000182
115,1776323765.488389,sumo,3037.0,3063.4,57.0,17.368,26.40000000000009
116,1776323767.4739726,sumo,3092.0,3118.0,55.0,16.774,26.0
117,1776323769.4850664,sumo,3147.0,3173.2,56.0,17.172,26.199999999999818
118,1776323771.500366,sumo,3206.0,3233.0,60.0,16.49,27.0
119,1776323773.4935577,sumo,3266.0,3293.0,60.0,17.091,27.0
120,1776323775.5212944,sumo,3326.0,3353.2,61.0,16.567,27.199999999999818
121,1776323777.5334654,sumo,3386.0,3414.0,65.0,17.864,28.0
122,1776323779.5190618,sumo,3446.0,3473.2,61.0,17.58,27.199999999999818
123,1776323781.5342858,sumo,3506.0,3533.0,60.0,17.619,27.0
124,1776323783.5296907,sumo,3566.0,3593.0,60.0,17.529,27.0
125,1776323785.5385995,sumo,3626.0,3653.4,62.0,17.793,27.40000000000009
126,1776323787.5918813,sumo,3686.0,3713.0,60.0,17.612,27.0
127,1776323789.5622394,sumo,3746.0,3773.0,60.0,17.655,27.0
128,1776323791.5711763,sumo,3806.0,3833.4,62.0,16.854,27.40000000000009
129,1776323793.573738,sumo,3866.0,3894.0,65.0,16.886,28.0
130,1776323795.5904124,sumo,3926.0,3953.0,60.0,16.884,27.0
131,1776323797.6011968,sumo,3986.0,4013.4,62.0,16.879,27.40000000000009
